"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.831253576,      -12.13855647,      -12.13267615,      -12.13829754,       2.332281853
          0,           0,           1,      -2.801446122,     -0.3661292274,     -0.4426631869,     -0.4621776288,       2.580709981
          0,           0,           2,      -2.745992857,     -0.2268967654,     -0.2983514284,     -0.3240922316,        2.69270841
          0,           0,           3,      -2.744386554,     -0.1906070133,      -0.271103909,     -0.2820467181,        2.70721459
          0,           0,           4,      -2.807564905,     -0.2085005623,     -0.3174832976,     -0.3281268248,        2.64403677
          0,           0,           5,      -2.904780922,     -0.2432246046,     -0.3869154169,       -0.39414924,       2.554919584
          0,           0,           6,      -2.976863206,     -0.2863103157,     -0.4423537243,     -0.4500455348,       2.484640595
          0,           0,           7,      -3.015297108,     -0.3358518895,     -0.4848235461,     -0.4927021693,       2.445684658
          0,           0,           8,      -3.036484796,     -0.3880808757,     -0.5191575171,     -0.5234227215,        2.42496022
          0,           0,           9,      -3.060527451,     -0.4386214586,      -0.549290404,     -0.5501636286,       2.402315854
          0,           0,          10,      -3.103858566,     -0.4849911731,     -0.5825858013,     -0.5820796128,       2.360487041
          0,           0,          11,      -3.174984969,     -0.5272444971,      -0.623985574,      -0.622047533,       2.288296113
          0,           0,          12,      -3.268959483,     -0.5661974722,     -0.6693984494,     -0.6639398191,       2.184084425
          0,           0,          13,      -3.336531132,     -0.6015652419,     -0.7025919027,     -0.6918476692,       2.090422481
          0,           0,          14,      -3.301661156,     -0.6322465297,     -0.7060676523,     -0.6915000994,       2.113835188
          0,           0,          15,      -3.211773641,      -0.657642333,     -0.6843449952,     -0.6691517167,       2.217697956
          0,           0,          16,      -3.137754778,     -0.6787473178,     -0.6581163741,     -0.6436421893,        2.30636687
          0,           0,          17,      -3.097706701,     -0.6982464996,     -0.6434087542,     -0.6292180206,       2.357311729
          0,           0,          18,      -3.092240236,     -0.7194624356,     -0.6474615733,     -0.6325122051,       2.371211081
          0,           0,          19,      -3.120136217,     -0.7449981723,     -0.6722446621,     -0.6554331632,       2.350335136
          0,           0,          20,      -3.180949321,     -0.7757170257,     -0.7164369411,     -0.6968037296,       2.295420033
          0,           0,          21,      -3.272859346,      -0.810243828,     -0.7743824487,     -0.7514775642,       2.207265699
          0,           0,          22,      -3.386240885,     -0.8452452796,     -0.8346131315,     -0.8091964411,       2.091295907
          0,           0,          23,      -3.490399222,     -0.8768166709,     -0.8822378878,      -0.856701536,       1.969982717
          0,           0,          24,      -3.537874174,      -0.902666112,     -0.9084731057,     -0.8855482051,       1.896072449
          0,           0,          25,      -3.534461595,     -0.9236100799,     -0.9196480138,     -0.9001663001,        1.89001194
          0,           0,          26,      -3.528444104,     -0.9422580104,     -0.9284375383,     -0.9115054677,       1.901521491
          0,           0,          27,      -3.546049697,     -0.9612972233,     -0.9429401163,     -0.9272185682,       1.892451393
          0,           0,          28,      -3.590985635,     -0.9819209191,     -0.9640334549,     -0.9485391698,       1.854599099
          0,           0,          29,      -3.653475682,      -1.003453899,     -0.9873393306,     -0.9716666492,       1.796266302
          0,           0,          30,      -3.712167304,      -1.023944061,      -1.007088315,     -0.9913441183,       1.738315962
          0,           0,          31,      -3.744687379,      -1.041585168,      -1.020120803,      -1.004657155,        1.70541881
          0,           0,          32,      -3.750962586,      -1.055443048,      -1.027362947,       -1.01254516,         1.7013946
          0,           0,          33,       -3.75150236,      -1.065777235,       -1.03205013,      -1.018139271,       1.706076244
          0,           0,          34,      -3.762284577,       -1.07354528,      -1.036627695,      -1.023823821,       1.701761811
          0,           0,          35,      -3.785760016,      -1.079660041,      -1.041308162,      -1.029835586,       1.684528508
          0,           0,          36,      -3.813396021,       -1.08466046,      -1.044769107,      -1.034840256,       1.661485313
          0,           0,          37,      -3.831554804,      -1.088577289,      -1.045755448,      -1.037406925,        1.64508647
          0,           0,          38,      -3.834150659,       -1.09150352,      -1.044583819,      -1.037595649,       1.641892046
          0,           0,          39,      -3.828820613,      -1.093759335,      -1.043048321,      -1.036982256,        1.64616904
          0,           0,          40,      -3.827505209,      -1.095737929,      -1.043082942,      -1.037417789,       1.647043541
          0,           0,          41,      -3.836421649,      -1.097714056,      -1.045592235,      -1.039862172,       1.637922654
          0,           0,          42,      -3.853249666,      -1.099650846,      -1.050047781,      -1.043961821,       1.620023191
          0,           0,          43,      -3.868554813,      -1.101189004,      -1.054950386,      -1.048440435,       1.601826668
          0,           0,          44,      -3.870830992,      -1.101804005,      -1.058646449,      -1.051866224,       1.595306125
          0,           0,          45,      -3.854494424,      -1.101056477,      -1.059988071,      -1.053291144,       1.608261953
          0,           0,          46,      -3.823987202,       -1.09873989,      -1.058689412,      -1.052505998,        1.63806954
